"filename", "language", "MCMETA", "MC-Build", "JSON", "mcfunction", "JavaScript", "comment", "blank", "total"
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/46.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/47.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/48.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/49.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/5.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/50.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/51.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/52.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/53.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/54.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/55.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/56.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/57.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/58.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/59.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/6.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/60.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/61.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/62.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/63.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/64.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/65.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/66.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/67.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/68.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/69.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/7.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/70.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/71.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/72.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/77.mcfunction", "mcfunction", 0, 0, 0, 1, 0, 1, 0, 2
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/77_root_commands.mcfunction", "mcfunction", 0, 0, 0, 1, 0, 1, 0, 2
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/8.mcfunction", "mcfunction", 0, 0, 0, 7, 0, 1, 0, 8
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/8_root_commands.mcfunction", "mcfunction", 0, 0, 0, 2, 0, 1, 0, 3
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/frames/9.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/on_tick.mcfunction", "mcfunction", 0, 0, 0, 8, 0, 1, 0, 9
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/anim/zzz/set_frame.mcfunction", "mcfunction", 0, 0, 0, 3, 0, 1, 0, 4
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/animations/pause_all.mcfunction", "mcfunction", 0, 0, 0, 1, 0, 1, 0, 2
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/apply_default_pose.mcfunction", "mcfunction", 0, 0, 0, 6, 0, 1, 0, 7
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/invalid_version_warning.mcfunction", "mcfunction", 0, 0, 0, 0, 0, 1, 1, 2
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/on_load.mcfunction", "mcfunction", 0, 0, 0, 1, 0, 1, 0, 2
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/remove/all.mcfunction", "mcfunction", 0, 0, 0, 1, 0, 1, 0, 2
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/remove/entities.mcfunction", "mcfunction", 0, 0, 0, 1, 0, 1, 0, 2
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/remove/this.mcfunction", "mcfunction", 0, 0, 0, 2, 0, 1, 0, 3
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/remove/zzz/this/kill_camera.mcfunction", "mcfunction", 0, 0, 0, 1, 0, 1, 0, 2
"/Users/School/Library/Application Support/minecraft/1.21.8/saves/devesto/datapacks/theworld/data/animated_java/function/the_world/remove/zzz/this/kill_locator.mcfunction", "mcfunction", 0, 0, 0, 1, 0, 1, 0, 2
